,building_grade,people_grade,property_grade,indirect_grade,construction_grade,disaster_grade
226,16,1,8,0,0,0
227,16,1,8,0,0,0
228,16,1,7,0,0,0
229,14,0,5,0,0,0
230,14,0,7,4,0,0
231,12,0,7,0,0,0
232,14,0,8,0,0,0
233,14,0,8,0,0,0
234,16,4,7,0,0,0
235,14,4,7,0,0,0
236,16,4,8,0,0,0
237,14,4,8,0,0,0
238,16,0,7,0,0,0
239,14,0,8,2,0,0
240,16,2,8,0,0,0
241,16,2,8,0,0,0
242,14,2,0,0,0,0
243,14,3,1,0,0,0
244,14,0,7,0,2,0
245,14,4,7,0,0,0
246,14,4,7,0,0,0
247,14,0,2,0,0,10
248,16,3,4,0,0,0
249,16,3,2,0,0,0
250,16,3,4,0,0,0
251,14,6,1,0,0,0
252,14,2,5,0,0,0
253,14,2,5,0,0,0
254,14,8,0,8,0,0
255,16,0,2,0,0,0
256,16,8,2,10,0,0
257,16,0,2,0,0,0
258,14,0,2,0,0,0
259,14,4,2,0,0,0
260,14,0,2,0,0,0
261,14,8,0,8,0,0
262,14,8,0,8,0,0
263,14,0,0,0,0,0
264,14,8,0,8,0,0
265,12,8,0,8,0,0
266,14,0,6,0,0,0
267,14,0,3,0,4,0
268,14,0,7,0,0,0
269,14,3,5,0,0,0
270,14,0,0,0,0,0
271,18,6,8,2,0,0
272,20,0,8,2,0,0
273,18,7,6,0,2,0
274,18,7,6,0,2,0
275,20,5,6,0,2,0
276,18,4,4,6,2,0
277,20,4,3,4,2,0
278,18,0,2,4,0,0
279,18,1,4,4,0,0
280,18,0,5,4,0,0
281,20,0,6,0,0,0
282,20,0,6,0,0,0
283,18,1,6,0,2,0
