,학교명,등급,소재지지번주소,Latitude,Longitude,주거,직장,유동,인구총합
1,서전주중학교 강당/급식소/교사,B등급,전라북도 전주시 완산구 거마평로 205 서전주중학교,35.8103054,127.1127264,1728,153,3774,5655
2,서전주중학교 교사,B등급,전라북도 전주시 완산구 거마평로 205 서전주중학교,35.8103054,127.1127264,1728,153,3774,5655
3,전라고등학교 전라고등학교 10동(기숙사),B등급,전라북도 전주시 덕진구 솔내7길 25 전라고등학교,35.8599663,127.1248906,1434,499,6400,8333
4,전라고등학교 전라고등학교 1동(본관),B등급,전라북도 전주시 덕진구 솔내7길 25 전라고등학교,35.8599663,127.1248906,1434,499,6400,8333
5,"전라고등학교 전라고등학교 2동(강당, 급식소)",B등급,전라북도 전주시 덕진구 솔내7길 25 전라고등학교,35.8599663,127.1248906,1434,499,6400,8333
6,전라고등학교 전라고등학교 6동(학습동),B등급,전라북도 전주시 덕진구 솔내7길 25 전라고등학교,35.8599663,127.1248906,1434,499,6400,8333
7,전라고등학교 전라고등학교 7동(정진관),B등급,전라북도 전주시 덕진구 솔내7길 25 전라고등학교,35.8599663,127.1248906,1434,499,6400,8333
8,전라북도교육문화회관 공연장동,B등급,전라북도 전주시 덕진구 안덕원로 71,35.8291331,127.1378158,107,509,1598,2214
9,전라북도교육문화회관 본관동,B등급,전라북도 전주시 덕진구 안덕원로 71 전북교육문화회관,35.8291925,127.1375569,107,509,1598,2214
10,전라북도교육문화회관 예능관동,B등급,전라북도 전주시 덕진구 안덕원로 71 전북교육문화회관,35.8291925,127.1375569,107,509,1598,2214
11,전라북도교육문화회관 체육관동,B등급,전라북도 전주시 덕진구 안덕원로 71 전북교육문화회관,35.8291925,127.1375569,107,509,1598,2214
12,전라북도교육연구정보원 청사,A등급,전라북도 전주시 덕진구 안덕원로 191 전라북도과학교육원,35.8360812,127.1472577,107,509,1598,2214
13,전라북도완주교육지원청 완주교육지원청,B등급,전라북도 전주시 덕진구 모래내6길 17 완주교육청,35.8351919,127.1452227,741,316,1530,2587
14,전라북도전주교육지원청 영재교육원,B등급,전라북도 전주시 덕진구 태진로 100,35.830294,127.1368049,1477,461,3487,5425
15,전라북도전주교육지원청 청사,B등급,전라북도 전주시 덕진구 태진로 100 전주시교육청,35.8303723,127.1365045,1477,461,3487,5425
16,전라중학교 교사3동,B등급,전라북도 전주시 덕진구 들사평1길 39 전라중학교,35.8379049,127.1233258,449,229,980,1658
17,전북대 건지아트홀및휴게동,B등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,0,0,1108,1108
18,전북대 공과대학 4호관,C등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,0,0,848,848
19,전북대 공과대학 8호관,B등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,0,0,848,848
20,전북대 공과대학1호관,C등급,전라북도 전주시 덕진구 백제대로 567,35.844182,127.1292776,0,0,848,848
