subject,주소,Latitude,Longitude
평화동1가 덕적골3길 도로정비공사,전라북도 전주시 완산구 평화동1가 448-11,35.7951296,127.1432556
삼천동1가 약수공원 화장실 신축공사,완산구 삼천동1가 615-4,35.797726,127.1216056
효자2동 성지산공원 화장실 신축공사,완산구 성지산로 55,35.802042,127.1235308
서곡광장~송천동 신풍리간 중로개설공사(2공구),전라북도 전주시 덕진구 팔복동2가,35.8554553,127.095419
송천동 솔내4길 도로개설공사,덕진구 송천동1가 391-82,35.8560299,127.1226303
원동선 확포장공사(5차),덕진구 원동 317-3,35.855328,127.0348528
"호성동 초당,동산 진입로 개설공사(3차분)",덕진구 호성동1가 564-27,35.8657767,127.149722
팔복정수장 침전지 내부개량공사,전주시완산구 현무3길32,35.8213521,127.1513602
서서학동 재실어린이공원 조성사업,완산구 서서학동 337-13,35.8008868,127.1466258
도심녹지 병해충 방제 추진,전라북도 전주시 덕진구 우아동3가,35.8501591,127.1601588
서낭당오거리 회전교차로 설치공사,전라북도 전주시 완산구 중노송동 399-1,35.8291113,127.1524818
송천동 솔내2길 외 1개소 도로개설공사,송천동 송천동1가 773,35.8567869,127.1236106
한국전통문화전당 주변 특색거리 조성사업,전주시 완산구 현무1길 20,35.8206769,127.1482821
지방도712호선 위험도로 구조개선사업,전주시 완산구 용복동 산204-1,35.7576534,127.0611901
전주시 도로명 안내표지판 설치공사,전라북도 전주시 금암1동,35.8374132,127.1330852
서서학동 흑석골구역 주거환경개선사업,완산구 서서학동 990-12,35.7968752,127.1488017
공업용수 도수관 확장교체사업,전주시 완산구 효자동2가 소태정3길5-4,35.8034511,127.1005131
평화2동 대정초교 앞 도로개설,전라북도 전주시 완산구 평화동2가 459,35.7858043,127.1254214
평화1동 양지마을 소로개설,전라북도 전주시 완산구 서완산동1가 316-2,35.8107562,127.1413152
동서학동 학봉구역 주거환경개선사업,동서학동 299-2,35.8045783,127.1520609
서신동 바구멀2구역 주거환경개선사업,완산구 서신동 9-4,35.8280809,127.1252843
쑥고개길 확장공사,전라북도 전주시 효자2동,35.8069166,127.1195033
산정동 원산정길 개설공사,덕진구 산정동 300-1,35.8467669,127.1726553
"풍남동3가, 남노송동 중로 1-88호선 도로개설사업",완산구 풍남동3가 1,35.8165624,127.1567118
삼천동 효문초등학교 인근 단수 알림,완산구 삼천동1가 5557-7,35.7961623,127.1211426
동완산동 원각사구역 주거환경개선사업,완산구 동완산동 167,35.8102548,127.1435513
긴급 누수 복구 공사 관련 송천동 덕진동 단수 안내,전라북도 전주시 덕진구 덕진동2가 168-2,35.8509053,127.1195825
영상제작단지 진입로개설,전라북도 전주시 완산구 효자동3가,35.8257106,127.0931971
야전 재해위험지구 정비사업,전주시 덕진구 팔복동1가 222,35.8588052,127.1066309
서서학동 재실구역 주거환경개선사업,완산구 서서학동 337-13,35.8008868,127.1466258
동서학동 산성구역 주거환경개선사업,완산구 동서학동 853-1,35.8065742,127.1584085
단수안내 8.24(금) 00:00~06:00,전라북도 전주시 완산구 서신동 산1-2,35.8271609,127.1270552
동산지구 거점확산형 도시주거환경개선사업,동산동 605,35.9280093,126.9575126
단수안내-2011. 2. 21(월) 08:00~20:00(12시간),전라북도 전주시 덕진구 반월동 848-39,35.8704513,127.0537178
원동선 도로 확포장 공사,전라북도 전주시 덕진구 원동 361-1,35.8511683,127.0335847
