,Latitude,Longitude,clustering_KM,clustering_DB,clustering_AC,clustering_GMM
0,35.8103054,127.1127264,4,-1,3,0
1,35.8103054,127.1127264,4,-1,3,0
2,35.8599663,127.1248906,4,-1,3,1
3,35.8599663,127.1248906,4,-1,3,1
4,35.8599663,127.1248906,4,-1,3,1
5,35.8599663,127.1248906,4,-1,3,1
6,35.8599663,127.1248906,4,-1,3,1
7,35.8291331,127.1378158,4,-1,3,1
8,35.8291925,127.1375569,4,-1,3,1
9,35.8291925,127.1375569,4,-1,3,1
10,35.8291925,127.1375569,4,-1,3,1
11,35.8360812,127.1472577,4,-1,3,0
12,35.8351919,127.1452227,4,-1,3,0
13,35.830294,127.13680490000002,4,-1,3,1
14,35.8303723,127.1365045,4,-1,3,1
15,35.8379049,127.1233258,4,-1,3,1
16,35.844182,127.12927759999998,4,-1,3,1
17,35.844182,127.12927759999998,4,-1,3,1
18,35.844182,127.12927759999998,4,-1,3,1
19,35.844182,127.12927759999998,4,-1,3,1
20,35.844182,127.12927759999998,4,-1,3,1
21,35.844182,127.12927759999998,4,-1,3,1
22,35.844182,127.12927759999998,4,-1,3,1
23,35.844182,127.12927759999998,4,-1,3,1
24,35.844182,127.12927759999998,4,-1,3,1
25,35.844182,127.12927759999998,4,-1,3,1
26,35.844182,127.12927759999998,4,-1,3,1
27,35.844182,127.12927759999998,4,-1,3,1
28,35.844182,127.12927759999998,4,-1,3,1
29,35.844182,127.12927759999998,4,-1,3,1
30,35.844182,127.12927759999998,4,-1,3,1
31,35.844182,127.12927759999998,4,-1,3,1
32,35.844182,127.12927759999998,4,-1,3,1
33,35.844182,127.12927759999998,4,-1,3,1
34,35.844182,127.12927759999998,4,-1,3,1
35,35.844182,127.12927759999998,4,-1,3,1
36,35.844182,127.12927759999998,4,-1,3,1
37,35.844182,127.12927759999998,4,-1,3,1
38,35.8441821,127.1292777,4,-1,3,1
39,35.8441821,127.1292777,4,-1,3,1
40,35.8441821,127.1292777,4,-1,3,1
41,35.844182,127.12927759999998,4,-1,1,1
42,35.844182,127.12927759999998,4,-1,1,1
43,35.844182,127.12927759999998,4,-1,1,1
44,35.844182,127.12927759999998,4,-1,1,1
45,35.844182,127.12927759999998,4,-1,1,1
46,35.844182,127.12927759999998,4,-1,1,1
47,35.844182,127.12927759999998,4,-1,1,1
48,35.844182,127.12927759999998,4,-1,1,1
49,35.844182,127.12927759999998,4,-1,1,1
50,35.844182,127.12927759999998,4,-1,1,1
51,35.844182,127.12927759999998,4,-1,1,1
52,35.844182,127.12927759999998,4,-1,1,1
53,35.844182,127.12927759999998,4,-1,1,1
54,35.844182,127.12927759999998,4,-1,1,1
55,35.844182,127.12927759999998,4,-1,1,1
56,35.8471872,127.1405894,1,-1,1,1
57,35.8471872,127.1405894,1,-1,1,1
58,35.8471872,127.1405894,1,-1,1,1
59,35.8471872,127.1405894,1,-1,1,1
60,35.844182,127.12927759999998,1,-1,1,1
61,35.844182,127.12927759999998,1,-1,1,1
62,35.844182,127.12927759999998,1,-1,1,1
63,35.844182,127.12927759999998,1,-1,1,1
64,35.844182,127.12927759999998,1,-1,1,1
65,35.844182,127.12927759999998,1,-1,1,1
66,35.844182,127.12927759999998,1,-1,1,1
67,35.844182,127.12927759999998,1,-1,1,1
68,35.844182,127.12927759999998,1,-1,1,1
69,35.844182,127.12927759999998,1,-1,1,1
70,35.844182,127.12927759999998,1,-1,1,1
71,35.844182,127.12927759999998,1,-1,1,1
72,35.844182,127.12927759999998,1,-1,1,1
73,35.844182,127.12927759999998,1,-1,1,1
74,35.844182,127.12927759999998,1,-1,1,1
75,35.844182,127.12927759999998,1,-1,1,1
76,35.8471872,127.1405894,1,-1,1,1
77,35.8471872,127.1405894,1,-1,1,1
78,35.8471872,127.1405894,1,-1,1,1
79,35.8471872,127.1405894,1,-1,1,1
80,35.844182,127.12927759999998,1,-1,1,1
81,35.844182,127.12927759999998,1,-1,1,1
82,35.844182,127.12927759999998,1,-1,1,1
83,35.844182,127.12927759999998,1,-1,1,1
84,35.8471872,127.1405894,1,-1,1,0
85,35.8471872,127.1405894,1,-1,1,1
86,35.8471872,127.1405894,1,-1,1,1
87,35.83830529999999,127.1452047,1,-1,1,0
88,35.83830529999999,127.1452047,1,-1,1,0
89,35.8253876,127.1518334,1,-1,1,0
90,35.8253876,127.1518334,1,-1,1,0
91,35.8253876,127.1518334,1,-1,1,0
92,35.8253876,127.1518334,1,-1,1,0
93,35.8253876,127.1518334,1,-1,1,3
94,35.8253876,127.1518334,1,-1,1,3
95,35.810056,127.1438624,1,-1,1,3
96,35.86342089999999,127.0742709,1,-1,1,0
97,35.80913779999999,127.155104,1,-1,1,0
98,35.8077841,127.1524219,1,-1,1,0
99,35.80913779999999,127.155104,1,-1,1,0
100,35.80913779999999,127.155104,1,-1,1,0
101,35.8087179,127.1572938,1,-1,1,0
102,35.80913779999999,127.155104,1,-1,1,0
103,35.80913779999999,127.155104,1,-1,1,0
104,35.80913779999999,127.155104,1,-1,1,0
105,35.83772910000001,127.1367111,1,-1,0,0
106,35.83772910000001,127.1367111,1,-1,0,0
107,35.84362429999999,127.1474158,1,-1,0,0
108,35.84362429999999,127.1474158,1,-1,0,0
109,35.84875200000001,127.1464411,1,-1,0,0
110,35.8346915,127.1597066,1,-1,0,0
111,35.7961131,127.1403075,1,-1,0,0
112,35.8034458,127.1507508,1,-1,0,0
113,35.8034458,127.1507508,0,-1,0,0
114,35.8033598,127.1507905,0,-1,0,0
115,35.7975438,127.1777827,0,-1,0,3
116,35.8479425,127.11134579999998,0,-1,0,0
117,35.84869129999999,127.1121699,0,-1,0,0
118,35.84869129999999,127.1121699,0,-1,0,0
119,35.8415348,127.1244393,0,-1,0,0
120,35.8393814,127.1448157,0,-1,0,0
121,35.8393814,127.1448157,0,-1,0,0
122,35.85180120000001,127.1564156,0,-1,0,0
123,35.8386852,127.1503455,0,-1,0,0
124,35.8383027,127.1500555,0,-1,0,0
125,35.8383027,127.1500555,0,-1,0,0
126,35.8383027,127.1500555,0,-1,0,0
127,35.8290261,127.1523055,0,-1,0,0
128,35.77545770000001,127.12759640000002,0,-1,0,0
129,35.8838799,127.10950259999998,0,-1,0,0
130,35.8754945,127.0737894,0,-1,0,0
131,35.8084101,127.1510919,0,-1,0,0
132,35.8084101,127.1510919,0,-1,0,0
133,35.8084101,127.1510919,0,-1,0,0
134,35.8421911,127.1556956,0,-1,0,0
135,35.8421911,127.1556956,0,-1,0,0
136,35.8007149,127.1234834,0,-1,0,0
137,35.8101667,127.125253,0,-1,0,0
138,35.8399673,127.147606,0,-1,0,0
139,35.8399673,127.147606,0,-1,0,0
140,35.8399673,127.147606,0,-1,0,0
141,35.8399673,127.147606,0,-1,0,0
142,35.8356469,127.1039286,0,-1,0,0
143,35.8328635,127.1005299,0,-1,0,0
144,35.8296648,127.1120554,0,-1,0,0
145,35.8296648,127.1120554,0,-1,0,0
146,35.8287284,127.1167098,0,-1,0,0
147,35.82974450000001,127.1247614,0,-1,0,0
148,35.82974450000001,127.1247614,0,-1,0,0
149,35.82974450000001,127.1247614,0,-1,0,0
150,35.82974450000001,127.1247614,0,-1,0,0
151,35.8097765,127.1187742,0,-1,0,0
152,35.8097765,127.1187742,0,-1,0,0
153,35.8097765,127.1187742,0,-1,0,0
154,35.8363631,127.1149615,0,-1,0,0
155,35.8363631,127.1149615,0,-1,0,0
156,35.8315528,127.1098928,0,-1,0,0
157,35.83229520000001,127.1085728,0,-1,0,0
158,35.8203812,127.090368,0,-1,0,0
159,35.8203812,127.090368,0,-1,0,0
160,35.8203812,127.090368,0,-1,0,0
161,35.8627626,127.1230034,0,-1,0,0
162,35.8627626,127.1230034,0,-1,0,0
163,35.8627626,127.1230034,0,-1,0,0
164,35.8592,127.124389,0,-1,0,0
165,35.8592,127.124389,0,-1,0,0
166,35.8633129,127.1244312,0,-1,0,0
167,35.8633129,127.1244312,0,-1,0,0
168,35.85766010000001,127.1197604,0,-1,0,0
169,35.85766010000001,127.1197604,0,-1,0,0
170,35.85766010000001,127.1197604,0,-1,0,0
171,35.8692108,127.1266286,2,-1,0,0
172,35.8692108,127.1266286,2,-1,0,0
173,35.790106,127.1341102,2,-1,0,0
174,35.790106,127.1341102,2,-1,0,0
175,35.829111299999994,127.1524818,2,-1,0,0
176,35.828032,127.17536,2,-1,0,0
177,35.828032,127.17536,2,-1,0,0
178,35.7920451,127.1244548,2,-1,0,0
179,35.7924744,127.1260034,2,-1,0,0
180,35.7924744,127.1260034,2,-1,0,0
181,35.7924744,127.1260034,2,-1,0,0
182,35.837488,127.1111857,2,-1,0,0
183,35.8362484,127.1464424,2,-1,0,0
184,35.8362484,127.1464424,2,-1,0,0
185,35.8362484,127.1464424,2,-1,0,0
186,35.8362484,127.1464424,2,-1,0,0
187,35.8346915,127.1597066,2,-1,4,0
188,35.8294565,127.1657517,2,-1,4,0
189,35.8294565,127.1657517,2,-1,4,0
190,35.806979,127.13329640000002,2,-1,4,0
191,35.806979,127.13329640000002,2,-1,4,0
192,35.806979,127.13329640000002,2,-1,4,0
193,35.8769289,127.0516585,2,-1,4,0
194,35.7944584,127.1122348,2,-1,4,0
195,35.8542576,127.1538705,2,-1,4,0
196,35.8542576,127.1538705,2,-1,4,0
197,35.80549439999999,127.1066794,2,-1,4,0
198,35.80552810000001,127.106866,2,-1,4,0
199,35.80552810000001,127.106866,2,-1,4,0
200,35.8190261,127.0863398,2,-1,4,0
201,35.8190261,127.0863398,2,-1,4,0
202,35.8269357,127.1649923,2,-1,4,0
203,35.8315815,127.1625822,2,-1,4,0
204,35.8315815,127.1625822,2,-1,4,0
205,35.8491609,127.0603415,2,-1,4,0
206,35.83916370000001,127.1522497,2,-1,4,0
207,35.83916370000001,127.1522497,2,-1,4,0
208,35.8301251,127.1375173,2,-1,4,0
209,35.8301251,127.1375173,2,-1,4,0
210,35.821542,127.1583634,2,-1,4,2
