,학교명,Latitude,Longitude,인적지표
0,서전주중학교 강당/급식소/교사,35.8103054,127.1127264,11310
1,서전주중학교 교사,35.8103054,127.1127264,11310
2,전라고등학교 전라고등학교 10동(기숙사),35.859966299999996,127.1248906,58331
3,전라고등학교 전라고등학교 1동(본관),35.859966299999996,127.1248906,58331
4,"전라고등학교 전라고등학교 2동(강당, 급식소)",35.859966299999996,127.1248906,58331
5,전라고등학교 전라고등학교 6동(학습동),35.859966299999996,127.1248906,58331
6,전라고등학교 전라고등학교 7동(정진관),35.859966299999996,127.1248906,58331
7,전라북도교육문화회관 공연장동,35.8291331,127.1378158,19926
8,전라북도교육문화회관 본관동,35.8291925,127.1375569,17712
9,전라북도교육문화회관 예능관동,35.8291925,127.1375569,17712
10,전라북도교육문화회관 체육관동,35.8291925,127.1375569,17712
11,전라북도교육연구정보원 청사,35.8360812,127.14725770000001,11070
12,전라북도완주교육지원청 완주교육지원청,35.8351919,127.14522269999999,2587
13,전라북도전주교육지원청 영재교육원,35.830294,127.13680490000002,43400
14,전라북도전주교육지원청 청사,35.8303723,127.13650449999999,37975
15,전라중학교 교사3동,35.8379049,127.12332579999999,1658
16,전북대 건지아트홀및휴게동,35.844182,127.12927759999998,67588
17,전북대 공과대학 4호관,35.844182,127.12927759999998,51728
18,전북대 공과대학 8호관,35.844182,127.12927759999998,51728
19,전북대 공과대학1호관,35.844182,127.12927759999998,51728
20,전북대 공과대학2호관,35.844182,127.12927759999998,51728
21,전북대 공과대학3호관,35.844182,127.12927759999998,51728
22,전북대 공과대학5호관,35.844182,127.12927759999998,51728
23,전북대 공과대학6호관,35.844182,127.12927759999998,51728
24,전북대 공과대학7호관,35.844182,127.12927759999998,51728
25,전북대 공대부속공장,35.844182,127.12927759999998,79117
26,전북대 글로벌인재관(구학습도서관),35.844182,127.12927759999998,63745
27,전북대 농과대학1호관,35.844182,127.12927759999998,41541
28,전북대 농과대학2호관,35.844182,127.12927759999998,41541
29,전북대 농과대학3호관,35.844182,127.12927759999998,41541
30,전북대 농과대학4호관,35.844182,127.12927759999998,41541
31,전북대 농대본관,35.844182,127.12927759999998,41541
32,전북대 농대본관(농업과학기술연구소),35.844182,127.12927759999998,41541
33,전북대 농대시설재배온실,35.844182,127.12927759999998,41541
34,전북대 대학본부(별관포함),35.844182,127.12927759999998,31964
35,전북대 동아리전용관,35.844182,127.12927759999998,31293
36,전북대 반도체물성연구소,35.844182,127.12927759999998,43188
37,전북대 변전실,35.844182,127.12927759999998,31293
38,전북대 사대부고(본관),35.8441821,127.1292777,75030
