,학교명,Latitude,Longitude,grade
0,서전주중학교 강당/급식소/교사,35.8103054,127.1127264,
1,서전주중학교 교사,35.8103054,127.1127264,
2,전라고등학교 전라고등학교 10동(기숙사),35.859966299999996,127.1248906,
3,전라고등학교 전라고등학교 1동(본관),35.859966299999996,127.1248906,
4,"전라고등학교 전라고등학교 2동(강당, 급식소)",35.859966299999996,127.1248906,
5,전라고등학교 전라고등학교 6동(학습동),35.859966299999996,127.1248906,
6,전라고등학교 전라고등학교 7동(정진관),35.859966299999996,127.1248906,
7,전라북도교육문화회관 공연장동,35.8291331,127.1378158,
8,전라북도교육문화회관 본관동,35.8291925,127.1375569,
9,전라북도교육문화회관 예능관동,35.8291925,127.1375569,
10,전라북도교육문화회관 체육관동,35.8291925,127.1375569,
11,전라북도교육연구정보원 청사,35.8360812,127.14725770000001,
12,전라북도완주교육지원청 완주교육지원청,35.8351919,127.14522269999999,
13,전라북도전주교육지원청 영재교육원,35.830294,127.13680490000002,
14,전라북도전주교육지원청 청사,35.8303723,127.13650449999999,
15,전라중학교 교사3동,35.8379049,127.12332579999999,
16,전북대 건지아트홀및휴게동,35.844182,127.12927759999998,
17,전북대 공과대학 4호관,35.844182,127.12927759999998,
18,전북대 공과대학 8호관,35.844182,127.12927759999998,
19,전북대 공과대학1호관,35.844182,127.12927759999998,
20,전북대 공과대학2호관,35.844182,127.12927759999998,
21,전북대 공과대학3호관,35.844182,127.12927759999998,
22,전북대 공과대학5호관,35.844182,127.12927759999998,
23,전북대 공과대학6호관,35.844182,127.12927759999998,
24,전북대 공과대학7호관,35.844182,127.12927759999998,
25,전북대 공대부속공장,35.844182,127.12927759999998,
26,전북대 글로벌인재관(구학습도서관),35.844182,127.12927759999998,
27,전북대 농과대학1호관,35.844182,127.12927759999998,
28,전북대 농과대학2호관,35.844182,127.12927759999998,
29,전북대 농과대학3호관,35.844182,127.12927759999998,
30,전북대 농과대학4호관,35.844182,127.12927759999998,
31,전북대 농대본관,35.844182,127.12927759999998,
32,전북대 농대본관(농업과학기술연구소),35.844182,127.12927759999998,
33,전북대 농대시설재배온실,35.844182,127.12927759999998,
34,전북대 대학본부(별관포함),35.844182,127.12927759999998,
35,전북대 동아리전용관,35.844182,127.12927759999998,
36,전북대 반도체물성연구소,35.844182,127.12927759999998,
37,전북대 변전실,35.844182,127.12927759999998,
38,전북대 사대부고(본관),35.8441821,127.1292777,
39,전북대 사대부고생활관,35.8441821,127.1292777,
40,전북대 사대부고체육관,35.8441821,127.1292777,
41,전북대 사범대 과학관,35.844182,127.12927759999998,
42,전북대 사범대 본관,35.844182,127.12927759999998,
43,전북대 사회과학대학,35.844182,127.12927759999998,
44,전북대 산학협련단별관,35.844182,127.12927759999998,
45,전북대 상과대학 1호관,35.844182,127.12927759999998,
46,전북대 상과대학 2호관,35.844182,127.12927759999998,
47,전북대 생활과학대학,35.844182,127.12927759999998,
48,전북대 생활관 3호관(진리관),35.844182,127.12927759999998,
49,전북대 생활관 5호관(대동관),35.844182,127.12927759999998,
50,전북대 생활관 관리동,35.844182,127.12927759999998,
51,전북대 언어교육원,35.844182,127.12927759999998,
52,전북대 예술대 미술관,35.844182,127.12927759999998,
53,전북대 예술대 예체능관,35.844182,127.12927759999998,
54,전북대 예술대학 2호관,35.844182,127.12927759999998,
55,전북대 예술대학 본관,35.844182,127.12927759999998,
56,전북대 의과대학1호관,35.8471872,127.14058940000001,
57,전북대 의과대학2호관,35.8471872,127.14058940000001,
58,전북대 의학계 학생회관,35.8471872,127.14058940000001,
59,전북대 의학계도서관,35.8471872,127.14058940000001,
60,전북대 인문과학대학 1호관,35.844182,127.12927759999998,
61,전북대 인문과학대학 2호관,35.844182,127.12927759999998,
62,전북대 자연과학대학 1호관,35.844182,127.12927759999998,
63,전북대 자연과학대학 2호관,35.844182,127.12927759999998,
64,전북대 자연과학대학 3호관,35.844182,127.12927759999998,
65,전북대 자연과학대학 4호관,35.844182,127.12927759999998,
66,전북대 자연과학대학 5호관,35.844182,127.12927759999998,
67,전북대 자연과학대학 본관,35.844182,127.12927759999998,
68,전북대 자연사박물관,35.844182,127.12927759999998,
69,전북대 정보전산원 교육동,35.844182,127.12927759999998,
70,전북대 정보전산원 본부동,35.844182,127.12927759999998,
71,전북대 제1학생회관,35.844182,127.12927759999998,
72,전북대 제2도서관(구중앙도서관 본관),35.844182,127.12927759999998,
